"model","3d","display_format","diagonal_size","review_date"
"LG 60LA6200","Passive 3D","1080p","60 in","Aug. 26, 2013"
"LG 60PH6700 - 60' Class ( 59.8' viewable ) 3D plasma TV","Yes","1080p (FullHD)","60 in","Aug. 9, 2013"
"LG 55LA8600","","1080p","55 in","Aug. 2, 2013"
"Samsung PN60F5500 - 60' Class ( 59.9' viewable ) 3D plasma TV","Yes","1080p (FullHD)","60 in","Jul. 22, 2013"
"LG 60LA8600","","","60 in","Aug. 2, 2013"
"Samsung PN51F5500","Active 3D","1080p","51 in","Jul. 22, 2013"
"Samsung PN64F5500","Active 3D","1080p (FullHD)","64 in","Jul. 22, 2013"
"Vizio M651d-A2R","Yes","1080p","65 in","Jul. 3, 2013"
"Vizio M501d-A2R","Yes","1080p","50 in","Jul. 3, 2013"
"Sony KDL-32R400A","","720p","32 in","Jul. 10, 2013"
"Vizio M551d-A2R","Yes","1080p","55 in","Jul. 3, 2013"
"Samsung UN46F8000","Active 3D","1080p (FullHD)","46 in","Jun. 20, 2013"
"TCL LE58FHDE3010","","1080p","58 in","Jun. 21, 2013"
"Samsung UN65F8000","Active 3D","1080p","65 in","Jun. 20, 2013"
"Samsung UN60F8000","Active 3D","1080p","60 in","Jun. 20, 2013"
"Samsung UN55F8000","Active 3D","1080p","55 in","Jun. 20, 2013"
"Samsung UN75F8000","Active 3D","1080p","75 in","Jun. 20, 2013"
"Panasonic TC-L55DT60","Yes","1080p","55 in","Jun. 6, 2013"
"Panasonic TC-L60DT60","Yes","1080p","60 in","Jun. 6, 2013"
"Toshiba 50L2300U","","1080p","50 in","May. 30, 2013"
"Sony KDL-55W900A","Active 3D","1080p","55 in","May. 28, 2013"
"Panasonic TC-P60ZT60","Yes","1080p","60 in","May. 20, 2013"
"Toshiba 39L2300U","","1080p","39 in","May. 30, 2013"
"Panasonic TC-P65ZT60","Yes","1080p","65 in","May. 20, 2013"
"Sony KDL-47W802A","Passive 3D","1080p (FullHD)","47 in","May. 17, 2013"
"Sony KDL-55W802A","Passive 3D","1080p (FullHD)","55 in","May. 17, 2013"
"Panasonic TC-P65VT60","Active 3D","1080p","65 in","May. 6, 2013"
"Panasonic TC-P55VT60","Active 3D","1080p","55 in","May. 6, 2013"
"Seiki SE50UY04 (4K UHD)","","4K (2160p)","50 in","May. 8, 2013"
